DATETIME,DJON,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,TERA
2012-03-08 10:15:00,139.864,56.863,218.167,549.554,782.622,151.84,1391.58,102.412,152.519,360.465,442.639,414.4,204.6,49.264,241.144,89.824,166.213,172.392,209.12,221.013,103.57,168.322,124.2,95.307,204.814,184.568,205.712,203.178,116.424,137.734,283.158,114.131
2012-03-08 10:20:00,138.531,55.877,221.833,547.854,777.768,150.77,1381.42,102.368,154.27,356.767,442.936,414.2,205.2,50.15,241.638,90.658,165.613,172.166,207.867,219.666,103.837,169.472,123.8,96.347,204.604,181.542,206.926,205.206,117.422,137.094,279.502,113.18
2012-03-08 10:25:00,139.369,55.233,219.667,551.652,777.245,150.947,1384.26,101.302,153.501,359.994,442.789,415.6,206.2,49.838,242.504,88.7,164.43,172.49,207.573,218.576,104.554,167.696,124.6,96.373,205.308,182.712,204.172,202.89,117.672,137.386,280.912,112.568
2012-03-08 10:30:00,141.095,56.363,218.433,553.532,780.896,150.94,1387.96,103.056,154.644,357.948,440.663,415.0,202.8,48.778,241.324,91.562,167.797,172.976,210.053,218.921,103.206,169.532,125.0,96.293,206.594,183.588,203.37,204.004,116.622,137.488,280.314,112.192
2012-03-08 10:35:00,140.696,56.44,218.433,550.839,782.089,151.29,1387.66,105.012,153.303,359.918,441.808,412.6,206.4,48.734,239.25,89.59,166.377,171.842,206.8,217.77,105.739,170.212,124.0,96.24,204.556,186.014,205.726,210.128,116.848,136.616,278.154,112.617
2012-03-08 10:40:00,141.067,56.39,218.733,547.864,789.224,150.543,1382.86,101.764,154.079,357.819,439.61,414.6,207.4,49.658,241.176,91.03,166.49,172.656,206.187,219.817,104.816,168.448,124.2,94.987,203.778,183.672,203.952,209.98,116.514,135.488,278.75,112.165
2012-03-08 10:45:00,141.373,57.113,221.3,549.405,779.965,152.133,1387.24,102.582,153.235,357.214,444.088,414.4,204.0,48.876,244.728,91.562,166.293,172.39,207.253,221.226,104.594,169.972,124.8,96.72,208.256,184.178,205.944,208.892,118.08,134.492,275.656,110.77
2012-03-08 10:50:00,140.773,56.823,219.933,550.541,781.344,152.07,1383.16,102.34,153.23,359.701,444.065,416.0,207.4,48.868,244.098,91.9,167.12,172.038,206.747,221.181,103.753,169.16,124.2,97.307,204.636,183.336,203.216,205.21,116.628,135.514,276.156,110.884
2012-03-08 10:55:00,140.569,55.377,218.167,548.952,787.018,152.177,1379.16,102.122,153.364,358.395,442.285,414.6,205.6,48.532,243.534,89.946,163.807,170.664,207.52,219.383,104.782,170.496,123.8,95.787,204.34,183.098,206.67,204.746,117.896,134.772,277.186,111.985
2012-03-08 11:00:00,139.657,55.533,218.633,550.667,785.667,150.703,1388.74,102.484,153.35,359.479,443.873,413.6,208.2,50.108,240.886,91.15,164.513,171.784,205.733,219.773,104.544,168.964,123.6,96.533,203.248,185.18,202.34,206.186,116.206,136.736,275.682,110.77
2012-03-08 11:05:00,138.954,55.577,215.4,545.326,782.002,150.97,1370.08,101.492,153.905,354.193,437.83,409.4,205.0,47.824,244.892,90.508,165.607,172.73,210.773,220.297,105.364,169.616,123.6,95.867,203.132,183.554,203.192,205.51,115.14,137.908,281.194,113.756
2012-03-08 11:10:00,141.335,56.3,216.733,546.686,782.085,149.84,1375.44,102.834,151.121,353.736,436.256,412.4,203.6,49.286,241.64,89.868,166.56,173.472,207.04,220.798,104.433,170.454,123.8,95.973,202.52,181.496,203.526,203.506,115.656,138.458,282.19,111.93
2012-03-08 11:15:00,138.599,55.797,217.133,545.117,775.419,150.9,1371.1,100.668,152.19,355.072,436.214,412.4,207.2,50.172,239.728,89.75,166.937,170.782,208.453,219.679,103.439,170.262,123.8,96.027,201.092,181.096,200.852,202.218,115.09,138.234,283.48,109.91
2012-03-08 11:20:00,141.581,56.207,217.433,544.169,772.725,149.19,1362.36,100.192,152.676,350.916,433.194,408.4,203.2,48.115,240.354,89.232,165.77,170.152,208.48,217.946,103.535,167.312,123.2,96.373,199.256,180.3,201.352,203.812,116.154,138.784,279.68,108.189
2012-03-08 11:25:00,139.841,55.593,213.6,542.248,773.684,150.5,1362.28,100.672,150.317,349.884,431.109,407.0,209.0,47.758,241.408,87.808,163.9,167.766,205.12,216.781,101.781,168.078,123.2,94.987,199.546,178.684,201.612,203.986,114.82,137.862,278.898,109.216
2012-03-08 11:30:00,139.214,54.787,213.7,540.791,775.167,146.29,1362.14,99.978,151.495,349.356,430.736,406.6,204.0,48.364,236.824,88.2,161.143,168.268,205.013,216.056,102.199,167.592,121.6,95.867,198.152,179.982,196.812,202.138,115.046,137.67,279.074,109.073
2012-03-08 11:35:00,140.043,56.23,213.3,537.813,768.884,146.307,1341.92,100.824,146.821,343.18,423.491,403.0,202.4,47.644,235.034,87.64,158.55,165.168,206.027,214.891,102.065,164.63,121.2,95.36,197.752,177.46,193.902,200.024,115.24,137.446,279.138,108.844
2012-03-08 11:40:00,141.17,54.753,212.0,536.979,768.076,147.397,1332.96,100.694,146.772,344.829,426.952,399.0,200.2,47.494,230.62,88.236,158.203,163.674,202.64,215.574,99.329,164.098,120.4,94.347,198.384,176.96,196.538,198.866,114.054,136.076,278.408,108.723
2012-03-08 11:45:00,140.505,54.153,214.6,533.238,763.018,147.47,1332.14,100.156,148.138,342.914,423.487,400.2,199.6,48.66,233.118,88.472,158.963,166.956,201.333,216.345,99.752,162.858,121.6,94.4,197.3,176.116,196.598,200.524,114.884,135.95,277.654,109.5
