DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,CALG,OULU,APTY,FSMT,NAIN,PWNK,SOPB,SOPO
2001-04-08 12:00:00,163.936,50.953,207.833,120.757,1308.66,394.5,101.837,204.168,87.508,155.713,290.712,96.03,157.26,192.556,191.026,192.536,43.706,256.326
2001-04-08 12:05:00,163.864,50.88,205.4,122.9,1307.18,398.003,102.22863875000009,203.874,86.946,153.65,291.724,95.039,157.54,190.916,194.896,196.992,44.342,255.734
2001-04-08 12:10:00,165.742,51.74,207.333,122.843,1311.1,396.857,102.16991541666657,203.596,86.748,153.6,290.342,96.38,156.62,192.414,189.258,195.784,43.66,254.014
2001-04-08 12:15:00,164.506,50.283,209.0,123.717,1309.56,398.876,102.382,202.874,87.59,154.187,288.277,95.778,156.22,193.152,193.306,195.328,43.744,253.292
2001-04-08 12:20:00,163.674,50.343,207.367,123.15,1315.24,395.4,102.1922437500001,201.814,86.244,153.547,288.002,97.318,158.36,192.448,193.064,195.904,44.226,253.61
2001-04-08 12:25:00,163.746,50.083,208.0,124.733,1309.3,399.403,102.07188791666677,203.016,85.502,156.14,288.325,96.441,156.9,193.496,192.256,193.524,43.812,251.194
2001-04-08 12:30:00,167.268,50.923,208.933,123.52,1303.52,398.143,101.529,204.236,86.958,155.357,289.973,95.781,155.68,191.968,194.638,194.648,42.868,251.786
2001-04-08 12:35:00,165.188,51.183,208.5,124.563,1309.22,398.333,102.04431833333341,203.746,87.166,153.663,290.49,96.683,156.92,191.166,193.08,193.426,43.226,252.564
2001-04-08 12:40:00,167.07,51.42,207.2,125.093,1317.48,397.027,102.00891145833332,202.344,87.82,153.463,290.684,96.298,157.46,192.36,192.668,194.744,43.12,249.786
2001-04-08 12:45:00,164.472,50.85,205.533,122.89,1312.32,398.663,102.393,202.928,86.356,153.233,291.104,95.707,157.14,191.918,197.726,195.672,43.222,249.334
2001-04-08 12:50:00,167.104,51.283,206.433,123.163,1321.64,396.803,102.01263999999993,203.364,88.218,152.567,291.445,96.09,157.24,192.5,196.844,197.81,42.93,249.244
2001-04-08 12:55:00,164.658,50.287,207.833,125.037,1313.66,396.353,102.09032437499987,202.54,88.324,152.043,291.574,97.359,157.78,193.61,197.326,193.606,43.132,250.422
2001-04-08 13:00:00,165.62,51.053,205.3,123.337,1315.78,397.64,101.763,206.32,87.264,152.777,292.467,96.996,158.02,192.68,191.422,195.334,42.846,248.202
2001-04-08 13:05:00,165.994,50.46,208.1,124.053,1311.9,399.07,102.11430604166664,203.806,85.526,153.99,289.943,96.618,157.74,193.098,196.034,194.136,43.65,249.04
2001-04-08 13:10:00,166.916,51.99,205.5,124.06,1314.62,395.937,101.98202083333328,206.598,86.684,152.676,291.109,95.791,157.56,192.482,191.818,195.214,43.288,248.508
2001-04-08 13:15:00,165.754,51.2,204.967,125.293,1315.7,397.81,102.129,205.798,86.258,150.493,288.407,96.41,155.9,193.042,193.812,196.758,43.306,249.318
2001-04-08 13:20:00,165.978,50.897,206.867,123.453,1315.24,395.37,101.83295374999997,204.79,85.348,154.077,289.492,95.369,156.62,194.716,193.716,193.136,42.282,248.082
