DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-10-21 16:40:00,172.75,54.63,214.533,127.067,1365.96,414.19,,213.558,89.966,159.107,,297.129,97.648,160.26,197.818,171.802,199.474,200.782,110.342,46.39,269.912
2001-10-21 16:45:00,171.008,51.727,214.2,127.547,1365.8,413.077,105.01,212.898,91.016,159.03,,298.084,99.404,158.02,199.088,171.73,198.452,201.942,110.786,45.928,267.784
2001-10-21 16:50:00,170.382,52.707,217.067,125.457,1364.1,408.87,,213.01,89.25,158.377,,297.935,98.01,158.92,200.41,174.394,199.194,200.674,110.406,46.064,268.266
2001-10-21 16:55:00,170.618,53.577,215.967,126.2,1375.18,409.1,,210.114,89.386,157.397,,295.266,99.65,158.58,201.148,172.562,200.616,200.798,112.432,46.698,271.298
2001-10-21 17:00:00,172.198,52.37,215.1,126.017,1371.98,408.84,104.037,213.444,90.11,158.593,,300.152,98.407,158.02,197.808,177.088,200.672,201.692,111.262,45.81,268.642
2001-10-21 17:05:00,172.454,52.337,211.667,127.997,1376.9,408.737,,210.528,90.154,157.377,,297.987,98.737,157.98,200.996,175.406,198.868,199.806,109.704,46.432,268.222
2001-10-21 17:10:00,171.108,52.657,211.8,125.747,1377.14,415.16,,213.048,91.134,158.667,,297.383,99.268,158.32,200.042,173.982,199.968,201.114,110.494,46.434,269.31
2001-10-21 17:15:00,171.938,51.767,213.033,127.82,1377.44,411.03,104.713,213.23,89.932,158.327,,298.106,99.184,157.4,199.334,175.946,197.84,199.44,110.48,45.976,267.644
2001-10-21 17:20:00,171.12,52.39,213.067,126.34,1372.9,413.14,,211.912,90.396,156.577,,300.298,97.673,159.12,199.246,173.478,198.628,199.178,110.588,46.62,267.406
2001-10-21 17:25:00,170.558,51.273,214.333,127.783,1380.5,413.43,,213.3,89.906,158.45,,299.226,97.497,158.06,196.966,173.602,198.284,199.44,108.272,46.448,267.558
2001-10-21 17:30:00,171.604,52.133,212.867,128.587,1384.72,417.063,105.958,210.852,90.22,155.363,,297.821,98.16,157.72,197.404,173.552,197.312,201.924,109.178,46.306,266.126
2001-10-21 17:35:00,170.018,51.387,213.933,128.187,1376.28,410.357,,212.622,90.272,158.413,,297.854,98.221,156.58,196.8,172.144,199.144,199.857,110.154,45.586,268.946
2001-10-21 17:40:00,171.102,51.537,213.7,128.8,1377.66,412.29,,213.316,89.892,158.407,,296.699,97.821,156.7,196.758,174.172,199.944,197.2,109.436,46.098,265.924
2001-10-21 17:45:00,171.572,52.617,216.6,127.273,1385.28,412.823,105.541,214.308,89.908,156.27,,294.629,96.577,153.34,198.512,172.268,198.068,200.3,107.41,45.41,268.178
2001-10-21 17:50:00,172.704,51.75,214.067,124.853,1383.56,414.96,,213.216,89.104,156.517,,294.376,97.7,155.3,197.362,173.078,198.33,199.806,109.68,46.446,267.768
2001-10-21 17:55:00,169.894,52.273,214.967,128.93,1384.76,414.7,,210.738,90.322,155.13,,295.648,95.774,155.8,197.136,173.6,196.466,199.278,108.436,45.608,265.258
2001-10-21 18:00:00,171.34,52.057,215.833,128.367,1386.34,417.556,104.933,211.494,89.78,155.603,,295.05,96.853,157.26,197.836,170.502,198.42,200.354,108.196,45.664,267.138
2001-10-21 18:05:00,172.104,52.207,213.733,126.687,1390.4,414.79,,210.502,88.542,155.597,,295.851,97.408,155.84,196.646,172.202,197.79,198.314,109.502,46.086,264.158
2001-10-21 18:10:00,174.808,53.603,212.2,127.567,1386.68,416.51,,211.372,89.926,156.47,,295.185,97.406,156.9,195.876,173.652,199.234,198.408,108.178,45.82,268.044
2001-10-21 18:15:00,174.038,54.073,212.6,126.873,1390.18,415.667,105.413,210.428,90.702,154.97,,295.055,96.535,157.66,197.524,173.386,196.708,199.824,106.96,45.804,266.914
2001-10-21 18:20:00,173.194,51.777,212.433,127.277,1380.64,417.863,,212.328,89.908,156.54,,293.689,97.302,156.22,198.342,168.83,198.36,198.038,108.666,44.942,266.564
2001-10-21 18:25:00,173.372,53.57,215.167,129.36,1391.44,415.28,,208.85,89.6,155.39,,296.069,96.965,155.48,199.0,172.302,197.312,199.096,108.89,46.09,266.062
2001-10-21 18:30:00,175.56,52.78,216.433,128.76,1389.66,414.09,105.409,211.538,89.742,155.04,,294.939,97.063,157.58,198.084,174.466,197.008,197.108,108.22,45.712,264.656
2001-10-21 18:35:00,173.902,53.713,212.7,128.793,1394.56,415.967,,212.834,91.082,156.357,,291.034,95.325,157.12,196.74,171.418,195.93,197.972,108.036,45.346,264.668
2001-10-21 18:40:00,170.944,53.423,214.6,127.46,1385.02,409.98,,211.528,89.692,157.147,,291.506,96.783,155.72,195.398,169.77,197.098,197.69,107.944,45.226,267.058
2001-10-21 18:45:00,174.062,53.08,216.2,127.307,1383.56,414.81,104.56,210.732,87.598,156.267,,289.492,96.308,156.2,197.46,171.238,197.684,196.984,108.178,45.986,262.458
2001-10-21 18:50:00,171.736,51.883,214.867,126.637,1387.8,413.29,,212.388,89.784,157.347,,291.518,96.925,153.04,198.54,172.234,198.91,197.954,109.454,45.148,262.74
2001-10-21 18:55:00,171.894,52.84,213.867,128.143,1384.54,410.153,,208.056,89.706,155.983,,290.245,95.122,153.18,196.384,169.992,195.968,197.192,108.798,44.756,264.568
2001-10-21 19:00:00,172.506,53.24,213.6,128.423,1379.06,408.547,103.581,206.884,88.3,154.93,,290.065,94.357,153.76,194.536,171.326,196.798,196.468,108.912,44.86,265.22
2001-10-21 19:05:00,172.47,53.147,214.633,127.627,1373.68,404.237,,207.006,89.244,155.353,,289.224,96.431,152.18,196.14,170.752,195.014,198.992,109.436,45.2,263.52
2001-10-21 19:10:00,171.038,51.6,212.133,127.48,1374.54,408.037,,207.918,89.772,155.23,,292.756,95.234,151.36,196.008,172.714,197.072,196.52,108.47,44.392,262.244
2001-10-21 19:15:00,170.46,51.927,212.1,127.64,1368.7,405.573,103.836,205.164,90.538,155.15,,291.251,94.578,151.52,195.46,172.778,195.324,194.07,108.38,44.306,262.004
2001-10-21 19:20:00,172.372,52.447,214.8,126.163,1368.22,408.217,,206.756,88.628,156.11,,292.163,95.028,154.14,195.836,170.666,195.56,195.918,108.678,44.912,261.666
2001-10-21 19:25:00,172.022,52.713,212.933,125.553,1366.48,405.45,,204.396,87.28,152.89,,288.591,94.959,154.06,195.818,170.192,194.552,196.416,107.832,44.088,258.518
2001-10-21 19:30:00,171.806,52.05,211.8,125.767,1366.0,402.643,102.581,203.976,88.93,154.003,,293.254,96.267,154.14,195.286,171.778,195.938,197.672,108.776,44.258,260.42
2001-10-21 19:35:00,172.824,53.053,210.6,125.83,1369.78,404.873,,205.928,89.696,153.374,,289.669,94.995,152.96,192.666,170.466,195.108,196.24,108.854,44.594,260.646
