DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL
2006-12-14 13:40:00,178.3,55.833,220.667,153.15,1390.54,442.303,,97.656,168.443,319.263,107.709,174.12,207.62,191.082,209.218,208.422,122.052
2006-12-14 13:45:00,178.374,56.143,220.633,152.687,1391.28,442.9,109.97,97.87,168.937,320.005,105.868,174.12,211.086,191.338,210.694,209.868,120.538
2006-12-14 13:50:00,178.8,56.16,221.967,149.883,1381.16,444.663,,96.714,167.783,319.913,105.81,174.1,210.566,189.984,212.928,208.27,121.19
2006-12-14 13:55:00,178.932,54.947,221.633,151.89,1395.06,444.32,,98.772,169.813,318.97,107.493,173.42,212.168,189.196,211.522,211.172,119.974
2006-12-14 14:00:00,179.688,56.543,221.567,153.85,1388.76,442.203,110.754,99.872,168.75,320.844,108.744,173.3,212.97,191.476,212.334,210.384,121.434
2006-12-14 14:05:00,179.53,56.413,219.467,150.263,1388.6,446.963,,97.716,170.184,321.371,107.101,174.42,210.35,189.03,211.728,209.65,119.692
2006-12-14 14:10:00,178.47,55.403,223.333,153.0,1390.84,443.583,,98.012,168.403,322.07,108.332,172.68,211.044,189.126,212.568,212.654,120.672
2006-12-14 14:15:00,179.8,56.61,224.067,150.32,1378.08,444.393,110.055,97.412,169.446,320.954,107.693,173.24,214.148,189.116,212.318,211.316,120.998
2006-12-14 14:20:00,175.788,55.383,223.4,151.74,1389.34,441.443,,97.546,170.367,321.915,105.595,172.1,210.798,188.99,212.918,211.362,120.836
2006-12-14 14:25:00,177.596,56.697,223.433,151.513,1375.4,442.533,,99.538,165.86,322.691,106.607,174.6,211.286,188.106,214.506,211.124,120.422
2006-12-14 14:30:00,176.916,55.207,222.267,152.24,1387.34,443.08,110.106,97.406,170.14,323.619,106.93,173.0,212.27,189.092,212.568,210.396,121.046
2006-12-14 14:35:00,179.882,55.85,222.933,150.343,1384.86,440.517,,95.974,170.13,323.112,106.297,176.16,213.876,189.41,213.982,211.876,121.312
2006-12-14 14:40:00,177.762,55.297,223.967,150.727,1386.26,443.953,,98.416,171.637,320.866,106.843,173.44,210.354,190.506,212.822,210.922,120.69
2006-12-14 14:45:00,178.812,55.32,218.933,153.007,1382.14,440.067,110.995,98.872,167.78,320.865,105.918,173.68,212.344,189.24,213.26,213.038,120.296
2006-12-14 14:50:00,178.452,55.54,219.8,151.497,1387.64,443.76,,98.42,170.61,323.117,105.94,172.96,213.636,188.976,214.472,210.576,120.51
2006-12-14 14:55:00,178.648,54.593,223.633,154.07,1391.0,447.187,,97.762,170.557,324.423,106.557,173.96,212.63,191.468,212.22,212.34,121.568
2006-12-14 15:00:00,178.53,55.58,223.7,151.077,1392.3,444.597,110.541,100.152,168.5,322.858,106.583,173.44,213.81,189.702,213.404,211.566,120.438
2006-12-14 15:05:00,177.68,56.157,224.5,153.28,1391.16,444.663,,99.478,170.817,321.459,105.663,173.98,213.668,188.354,211.532,213.926,121.692
2006-12-14 15:10:00,179.458,54.763,222.4,150.763,1387.1,444.63,,96.608,171.353,323.727,107.202,171.3,213.448,191.488,213.98,213.926,119.982
2006-12-14 15:15:00,176.442,56.413,221.7,153.743,1391.04,439.7,109.99,97.0,168.03,326.079,106.213,174.68,212.072,190.818,213.474,213.766,120.79
2006-12-14 15:20:00,178.488,55.287,222.333,153.197,1384.58,440.81,,96.818,169.667,325.07,106.247,172.76,211.986,190.016,213.518,213.084,121.262
2006-12-14 15:25:00,178.116,54.61,223.367,153.24,1389.38,441.92,,98.132,168.27,321.165,105.728,173.26,213.646,189.372,213.514,214.426,119.823
2006-12-14 15:30:00,177.896,54.707,222.233,150.24,1397.64,439.367,110.629,97.086,168.883,320.995,106.426,175.3,214.572,191.696,213.214,212.974,120.3
2006-12-14 15:35:00,178.856,56.117,222.9,151.157,1400.66,443.1,,98.298,169.757,323.782,106.423,173.58,214.078,191.894,213.152,213.878,121.85
2006-12-14 15:40:00,177.652,55.69,220.633,151.18,1394.88,443.197,,96.138,169.547,324.581,107.243,174.84,212.366,190.062,213.606,212.562,122.086
2006-12-14 15:45:00,177.178,55.053,223.867,153.183,1396.72,442.29,110.043,99.372,168.493,324.113,105.667,172.52,213.636,191.488,214.576,212.844,122.168
2006-12-14 15:50:00,180.314,55.447,220.5,152.063,1397.02,446.663,,99.47,168.273,321.885,106.724,173.48,212.25,189.214,213.316,211.486,121.78
2006-12-14 15:55:00,179.034,56.183,221.1,152.793,1394.3,444.0,,98.202,170.38,322.776,107.736,173.5,212.51,189.316,211.86,212.026,120.506
2006-12-14 16:00:00,177.592,54.837,219.8,152.363,1390.0,444.283,109.901,98.702,169.62,326.085,107.521,174.66,212.358,188.988,212.664,210.48,120.458
2006-12-14 16:05:00,177.676,54.77,222.133,150.323,1384.46,442.847,,96.778,167.483,320.48,106.482,172.14,212.952,189.056,212.392,211.504,121.204
2006-12-14 16:10:00,176.47,56.443,222.6,151.793,1382.38,442.133,,99.228,168.353,323.229,106.523,172.34,212.242,191.092,211.026,210.432,122.434
