event_date,drop,intensity,dst,transformation,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian
2005-08-24,7.16,G4/G5,-216.0,exponential,min_max,manhattan,0.3311678880306333,40.421462681213214,2.8139733848219057,0.899481706097396,0.6422656385396368,0.5724619661507225,-0.298611111111113,0.23507219081045505,0.22633633364479877,0.22589869281045752,0.13111358062382403
2005-08-24,7.16,G4/G5,-216.0,exponential,min_max,minkowski,0.3699657640834112,41.61425208293042,2.8155525185246217,1.5980425555955766,0.6103986756572302,0.5570351920164048,-0.24838012958963293,0.23436036001505448,0.2909611929567081,0.16339869281045752,0.1334635537103653
2005-08-24,7.16,G4/G5,-216.0,exponential,z_score,manhattan,0.35829442888266416,41.28549642716964,2.8050721014707025,1.4937752996965943,0.7505413240861996,0.5895899960398996,-0.5773195876288679,0.23462105801898156,0.27198748651033516,0.17728758169934639,0.13224174135378164
2005-08-24,7.16,G4/G5,-216.0,exponential,z_score,minkowski,0.36286959228135707,41.54000932845892,2.8072321153795983,1.525356414157014,0.7455884019418959,0.598590204056151,-0.45983379501385047,0.23446391778668138,0.2767631909917441,0.17361111111111108,0.13284901869109547
2005-08-24,7.16,G4/G5,-216.0,exponential,robust,manhattan,0.36680412905903104,42.55243350532784,2.7928073838905396,1.3043413468289349,0.5529350614965372,0.61416867167763,-0.4012121212121219,0.23400362689884258,0.26902581977837364,0.18137254901960784,0.13275943957272013
2005-08-24,7.16,G4/G5,-216.0,exponential,robust,minkowski,0.37675070028011226,43.954688440873355,2.7962377196279147,1.449135268845648,0.7016936383040175,0.5908761345073108,-0.5673758865248234,0.233520779365849,0.27974011095704077,0.17156862745098037,0.13694172020606854
2005-08-24,7.16,G4/G5,-216.0,exponential,decimal_scaling,manhattan,0.3696337794377012,42.34940526284023,2.8262979671998845,1.2897143510368858,0.2922205645952317,0.5446156302790799,-0.3366093366093372,0.2340754697857739,0.2807594553439229,0.1719771241830065,0.13603794933564958
2005-08-24,7.16,G4/G5,-216.0,exponential,decimal_scaling,minkowski,0.3422891378773734,41.528295316137864,2.827083054759674,1.1635919625506677,0.4985534337913167,0.5446576653192513,-0.5421166306695463,0.23458161474286568,0.23233190021162597,0.21650326797385622,0.13446162001862363
2005-08-24,7.16,G4/G5,-216.0,exponential,none,manhattan,0.3696337794377012,42.34940526284023,2.826297967199885,1.2897143510368858,0.2922205645952317,0.5446156302790797,-0.3366093366093372,0.2340754697857739,0.2807594553439229,0.1719771241830065,0.1360379493356497
2005-08-24,7.16,G4/G5,-216.0,exponential,none,minkowski,0.3422891378773734,41.528295316137864,2.827083054759674,1.1635919625506677,0.49855343379132044,0.5446576653192512,-0.5421166306695463,0.23458161474286568,0.23233190021162597,0.21650326797385622,0.1344616200186236
