DATETIME,DJON,ESOI,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,MGDN,YKTK,KERG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2011-10-24 17:05:00,142.515,122.523,56.083,228.4,583.981,487.728,154.676,1418.66,107.248,160.414,375.587,459.447,425.8,213.8,53.516,244.296,97.404,179.934,217.92,225.59,109.274,174.702,218.282,195.268,218.882,222.108,124.502,151.448,307.794,124.054,115.962
2011-10-24 17:10:00,142.169,121.675,56.95,228.867,588.615,487.475,155.083,1411.48,107.518,162.69,378.6,459.327,424.6,213.2,51.692,242.618,97.26,179.722,218.373,228.274,107.163,176.288,217.718,194.176,218.762,218.26,124.636,150.52,304.624,122.622,116.899
2011-10-24 17:15:00,141.034,121.36,56.437,231.3,583.356,490.926,154.49,1409.72,108.258,162.813,378.11,459.777,427.8,213.8,53.124,243.548,96.872,179.364,216.187,223.437,106.918,174.884,218.482,195.64,217.19,222.272,125.486,152.212,305.054,121.53,115.783
2011-10-24 17:20:00,143.781,122.45,56.61,228.767,586.32,487.93,154.887,1406.22,109.054,163.667,377.716,459.393,424.6,215.6,52.23,244.19,96.58,176.668,216.0,228.393,108.797,174.378,218.464,193.566,219.036,218.674,123.528,151.16,308.226,122.804,116.218
2011-10-24 17:25:00,142.901,122.11,57.937,229.933,584.249,491.088,155.64,1402.66,108.258,159.783,379.172,461.18,422.2,209.6,53.412,245.052,97.548,179.706,214.853,226.879,107.796,176.722,219.014,192.678,217.698,222.136,124.836,151.576,306.688,124.198,117.58
2011-10-24 17:30:00,141.507,122.117,57.057,230.167,582.354,491.094,156.403,1413.76,106.122,161.808,379.32,457.9,425.4,212.6,52.688,245.908,96.59,179.55,213.573,227.48,108.703,174.366,219.548,192.732,218.446,220.826,124.01,150.526,307.134,123.848,118.298
2011-10-24 17:35:00,140.576,122.51,56.107,227.667,588.164,484.348,155.644,1410.26,107.312,164.03,377.708,460.68,423.8,213.8,51.11,245.642,96.702,178.052,215.013,227.033,110.037,175.736,219.656,193.846,217.816,220.744,125.728,150.598,309.53,121.352,116.898
2011-10-24 17:40:00,141.921,125.105,56.827,229.0,585.599,484.155,153.867,1411.58,105.99,161.321,377.985,460.74,423.6,213.6,52.21,248.2,97.446,177.062,215.573,227.514,109.405,176.172,220.538,192.624,218.692,219.812,124.436,151.332,310.682,123.76,117.839
2011-10-24 17:45:00,144.612,122.517,57.303,229.467,585.325,491.878,155.463,1405.22,107.828,161.881,382.079,459.124,419.8,212.4,52.15,244.682,97.578,177.728,214.88,230.889,108.929,177.068,221.884,195.82,218.462,222.74,125.004,150.41,305.79,122.832,115.347
2011-10-24 17:50:00,144.724,122.63,57.193,229.133,587.522,487.968,157.1,1397.48,108.188,162.112,377.841,459.997,421.8,213.0,51.974,245.348,97.938,178.45,214.16,228.043,107.881,175.518,219.77,192.878,217.236,222.832,124.758,149.688,307.172,122.946,117.862
2011-10-24 17:55:00,141.122,121.71,57.757,229.533,583.029,488.378,154.647,1400.12,107.524,162.126,378.64,456.393,420.2,208.8,53.108,244.872,96.478,179.948,211.707,226.589,107.308,178.202,222.304,191.356,217.292,223.466,124.6,152.974,309.546,123.336,116.169
2011-10-24 18:00:00,144.93,123.435,56.143,227.433,584.146,489.276,154.714,1403.02,107.646,162.355,377.495,461.57,418.6,212.4,51.978,242.45,96.778,178.98,213.787,224.994,106.324,176.728,221.87,193.538,218.058,219.11,124.612,149.928,307.704,124.074,116.757
2011-10-24 18:05:00,145.05,123.35,57.727,227.433,583.688,486.766,153.844,1403.16,107.386,161.811,378.512,458.197,420.2,208.8,51.252,245.616,98.174,180.658,213.813,228.976,108.757,173.778,221.236,191.756,215.642,221.736,123.966,151.536,308.39,122.296,115.523
2011-10-24 18:10:00,142.124,124.657,58.13,227.167,585.382,487.195,155.993,1404.42,106.52,161.985,377.941,459.12,420.0,211.2,53.066,247.98,96.402,177.886,215.44,225.083,110.664,176.368,222.18,192.066,217.694,219.54,125.534,149.936,307.794,123.184,116.591
2011-10-24 18:15:00,142.78,121.425,56.85,229.433,584.716,491.798,154.65,1395.0,107.23,162.352,379.668,459.763,418.8,211.4,52.946,246.978,97.674,179.862,211.946,225.558,107.891,175.24,218.216,195.388,218.006,220.488,125.284,149.804,307.302,123.96,116.38
2011-10-24 18:20:00,141.245,120.52,56.6,230.567,583.638,485.896,153.28,1397.6,107.794,163.172,378.377,455.687,418.6,207.8,53.182,247.808,96.878,178.514,212.213,226.482,108.964,177.082,218.868,194.276,217.214,222.794,126.718,150.61,307.188,123.044,115.917
2011-10-24 18:25:00,141.009,122.54,56.007,231.367,586.081,486.889,154.887,1397.78,107.858,161.555,381.835,459.42,418.8,210.2,52.74,243.434,98.85,178.582,215.067,224.795,109.529,175.04,221.012,195.488,217.726,220.054,125.128,150.894,305.242,123.056,113.395
2011-10-24 18:30:00,143.04,121.815,56.683,230.633,577.67,483.536,153.647,1396.08,107.848,161.479,377.272,458.613,418.2,212.2,52.288,245.382,95.978,181.632,214.08,225.469,107.259,174.286,222.372,192.46,217.888,218.068,125.436,149.206,307.474,123.562,114.596
2011-10-24 18:35:00,142.577,122.713,56.81,229.933,581.887,481.148,153.22,1387.66,106.854,160.797,376.256,457.81,421.8,209.8,52.984,244.954,96.846,179.554,216.8,227.342,108.013,176.232,221.022,193.874,219.912,220.902,125.646,149.758,305.28,124.668,114.982
2011-10-24 18:40:00,141.357,122.05,56.27,228.067,580.668,483.337,155.11,1383.5,106.27,159.965,377.928,458.003,416.6,210.4,53.078,244.616,96.336,178.756,212.827,227.918,108.624,177.9,223.498,195.336,216.812,218.058,125.172,150.16,305.776,123.756,115.004
2011-10-24 18:45:00,139.641,119.76,57.24,228.867,582.063,484.739,154.867,1395.46,106.046,160.838,379.353,458.543,418.8,210.4,53.242,247.518,97.346,175.608,213.973,228.477,107.117,177.588,221.52,195.148,221.13,221.336,123.42,150.048,307.99,123.134,115.617
2011-10-24 18:50:00,140.016,121.087,57.15,227.967,581.537,487.672,154.447,1386.7,109.762,161.948,374.108,461.117,415.4,208.4,52.484,245.288,96.392,179.248,215.813,227.153,108.343,175.836,219.302,193.27,217.504,225.968,124.608,149.2,304.526,123.93,114.734
2011-10-24 18:55:00,142.636,122.95,56.467,229.233,586.107,483.483,154.943,1387.66,107.808,161.865,373.635,457.913,415.4,209.6,52.628,245.648,97.47,178.786,215.413,227.586,109.361,177.11,219.98,197.046,220.068,223.02,124.536,149.864,305.946,123.356,116.216
2011-10-24 19:00:00,141.475,121.983,56.753,228.133,580.043,481.236,153.774,1388.3,107.654,162.488,374.837,456.283,416.6,212.0,52.824,243.772,97.556,179.226,215.12,226.147,108.58,175.234,221.556,196.588,216.142,218.47,125.654,149.252,305.044,122.196,114.683
2011-10-24 19:05:00,143.54,122.81,55.97,227.9,583.44,485.205,153.83,1393.84,107.858,160.253,376.717,456.43,418.2,209.0,52.196,244.828,96.246,180.192,213.147,224.502,107.422,176.31,219.32,195.628,219.864,219.442,125.078,150.726,307.154,121.524,116.628
2011-10-24 19:10:00,141.535,121.605,56.54,229.067,582.88,480.782,154.473,1388.02,107.642,161.196,378.135,458.127,414.8,207.2,52.112,246.372,97.86,179.98,215.227,228.151,108.313,175.848,222.338,198.266,218.116,218.3,125.2,149.472,304.972,123.78,114.273
2011-10-24 19:15:00,143.227,122.403,55.947,227.0,583.04,484.122,155.04,1383.64,105.778,161.775,375.89,457.07,414.4,209.6,52.738,247.026,96.264,180.586,214.347,227.296,107.551,174.446,221.626,197.576,217.73,220.064,124.27,149.862,304.642,122.964,116.47
2011-10-24 19:20:00,144.984,122.81,56.31,230.733,579.586,488.005,154.267,1389.88,106.958,163.104,375.395,458.1,417.8,209.6,51.75,245.092,97.06,178.552,214.08,227.001,107.517,176.388,223.102,194.732,218.136,220.946,125.16,150.7,305.124,123.122,115.511
2011-10-24 19:25:00,142.001,120.83,57.06,228.167,574.436,483.14,154.193,1389.98,107.218,162.77,377.302,457.383,423.8,207.2,51.944,246.136,97.692,178.63,214.027,227.544,107.354,173.982,224.188,194.014,219.632,219.316,125.704,149.828,304.378,123.034,116.017
2011-10-24 19:30:00,142.89,120.85,56.583,230.3,579.587,484.252,154.76,1390.94,106.57,162.873,379.05,455.557,422.2,210.0,53.266,248.882,97.262,179.722,214.427,226.98,106.95,173.446,221.346,193.928,220.076,222.68,125.622,150.142,303.136,123.21,116.751
2011-10-24 19:35:00,140.352,120.185,56.277,228.967,578.627,482.121,154.027,1396.14,105.382,161.499,377.433,460.487,419.8,210.4,52.36,242.476,96.384,180.466,212.693,225.784,105.085,177.198,221.122,195.346,218.634,222.192,125.288,150.116,305.474,122.322,115.967
2011-10-24 19:40:00,140.563,121.613,54.933,231.233,582.845,483.733,153.737,1395.12,105.446,162.117,378.041,457.337,421.4,209.8,51.9,242.49,97.126,177.78,214.053,225.695,105.663,175.526,221.254,196.534,216.834,220.35,124.29,149.164,304.384,121.968,116.655
2011-10-24 19:45:00,139.874,122.615,56.707,229.467,578.592,483.343,154.327,1391.42,106.038,161.908,377.542,458.043,419.2,211.2,52.996,246.89,98.57,180.818,213.013,223.307,108.383,177.664,220.752,194.712,217.226,221.976,125.47,148.076,302.552,122.362,115.598
2011-10-24 19:50:00,141.676,121.843,56.47,229.467,581.751,480.605,152.93,1392.36,108.2,161.008,376.173,457.627,416.0,210.2,53.356,245.548,97.08,178.248,213.067,225.4,106.928,176.476,223.088,197.142,220.466,220.844,125.14,147.868,302.262,121.144,116.569
2011-10-24 19:55:00,142.005,123.53,56.57,228.667,576.082,481.979,154.707,1395.42,105.35,160.761,373.259,457.4,414.6,211.8,52.396,247.154,97.15,180.412,211.84,226.007,106.409,176.558,220.716,194.788,218.534,217.244,124.834,148.064,300.866,121.458,115.091
2011-10-24 20:00:00,143.245,121.69,55.91,227.967,581.006,485.511,153.923,1398.7,107.404,162.638,374.147,456.013,419.0,210.4,52.154,246.902,96.646,179.528,212.533,226.014,105.726,178.394,220.032,193.312,217.41,223.792,124.526,148.67,300.372,122.454,114.867
2011-10-24 20:05:00,141.269,120.783,57.143,229.233,576.39,484.527,153.123,1395.28,106.992,160.842,378.204,457.353,422.8,211.4,51.386,242.182,97.08,180.052,212.4,226.08,105.914,176.786,220.62,194.358,216.09,219.33,124.324,146.946,300.692,121.816,116.074
2011-10-24 20:10:00,142.167,120.995,55.84,229.434,583.702,482.086,152.867,1391.08,106.482,163.012,377.291,457.58,418.2,210.2,53.14,246.01,98.11,178.324,211.547,225.427,107.966,174.564,221.3,196.11,217.714,222.688,125.762,148.22,299.69,122.206,114.41
2011-10-24 20:15:00,144.824,121.417,55.54,225.733,581.559,481.012,154.037,1392.22,106.058,162.599,375.574,458.063,419.6,208.2,51.896,244.482,96.556,179.368,214.053,226.126,108.744,175.63,219.014,194.75,218.962,221.812,124.002,147.452,302.744,122.596,115.48
