DATETIME,TSMB,ATHN,MXCO,NANM,PTFM,CALM,ROME,AATB,HRMS,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,DRBS,MCRL,NEWK,MGDN,YKTK,KERG,OULU,APTY,TXBY,FSMT,INVK,JBGO,NAIN,PWNK,THUL,MWSN,NEU3,SOPB,SOPO,DOMB,DOMC,TERA
2017-09-07 22:15:00,333.095,56.104,228.72783333333336,499.533,58.193,71.577,125.34,1441.0,122.696,161.608,384.292,476.216,376.558,427.8,183.0,112.977,52.783,98.562,184.062,225.12,231.043,108.775,175.325,103.867,220.868,196.368,271.214,215.472,216.55,123.098,234.349,1.015,150.366,305.598,5.251,19.552,118.04
2017-09-07 22:20:00,332.163,55.801,229.21076875000008,497.875,59.41,71.893,127.77,1438.44,125.934,163.63,385.063,476.822,375.002,429.0,181.6,112.203,53.815,98.316,183.496,224.32,230.242,107.926,176.812,103.387,220.014,195.79,271.486,216.118,215.616,124.982,234.704,0.971,150.224,307.744,5.505,19.924,118.134
2017-09-07 22:25:00,334.395,57.724,229.11704208333325,502.302,58.898,72.523,124.943,1435.5,123.702,164.02,387.343,473.177,377.524,427.0,183.2,112.19,53.56,97.942,180.466,223.813,230.253,108.616,175.623,104.88,220.79,196.704,270.432,215.812,219.916,126.264,234.732,0.954,150.41,308.928,5.267,20.195,117.25
2017-09-07 22:30:00,336.279,56.808,229.24587624999995,494.754,59.52,72.403,128.777,1432.38,125.115,163.476,384.889,476.093,375.546,428.8,183.6,109.87,53.74,96.43,182.578,226.267,231.24,107.437,175.783,104.32,222.076,197.472,269.994,217.08,219.66,124.992,234.616,1.039,151.232,306.738,5.282,20.601,118.391
2017-09-07 22:35:00,329.433,56.141,229.07142833333322,499.75,58.72,73.513,127.353,1429.76,123.879,164.748,382.876,477.137,377.47,425.8,181.2,111.873,54.187,99.526,184.77,225.44,227.743,108.457,176.139,101.733,218.68,198.232,271.596,215.362,219.808,126.15,235.366,0.931,149.632,306.592,5.358,20.245,120.06
2017-09-07 22:40:00,334.408,55.272,229.57291749999996,494.291,58.023,71.027,126.543,1442.66,123.133,162.901,384.867,477.685,378.058,431.8,183.2,111.627,52.745,98.594,181.444,224.96,231.175,108.349,176.115,103.947,219.84,197.016,270.888,215.972,221.252,125.172,234.565,0.89,150.104,307.308,5.405,20.019,119.774
2017-09-07 22:45:00,332.871,57.629,228.83111958333325,490.407,58.92,72.85,128.05,1436.54,123.266,163.096,384.959,476.751,375.864,427.0,184.4,112.877,53.76,98.294,182.996,223.707,228.823,108.605,175.864,103.627,219.97,197.55,272.028,212.59,218.262,130.074,234.877,0.894,149.456,306.468,5.611,20.503,120.275
2017-09-07 22:50:00,331.478,55.439,228.78864625000008,496.052,58.929,72.23,126.18,1435.28,123.059,163.758,380.976,476.405,373.526,427.6,184.0,110.79,53.545,98.074,184.242,225.813,231.866,106.645,174.784,102.533,220.01,195.765,275.43,216.032,215.508,126.496,232.6,0.981,149.92,306.672,5.216,20.718,117.768
2017-09-07 22:55:00,332.504,56.125,227.534,499.725,58.67,72.473,126.707,1436.5,125.472,163.375,382.367,474.583,374.186,427.6,182.4,113.464,51.833,98.108,184.448,225.307,230.111,109.908,175.267,104.267,220.636,195.87,275.354,215.256,220.092,126.404,235.422,0.974,150.008,307.464,5.308,20.297,118.577
2017-09-07 23:00:00,333.345,56.567,232.3,494.594,58.495,70.253,126.4,1432.06,124.085,161.556,380.69,478.274,375.234,429.0,180.8,110.72,54.005,97.94,183.148,224.933,228.858,108.478,175.05,104.373,219.102,197.35,271.478,215.92,221.244,121.88,232.773,0.957,150.348,308.482,5.518,20.814,118.245
2017-09-07 23:05:00,336.647,55.863,229.667,487.685,59.36,72.163,127.56,1424.2,124.526,162.845,383.544,474.208,372.162,429.0,183.8,109.62,52.6,98.454,182.254,225.307,227.858,109.427,174.738,102.827,220.834,197.214,268.354,216.49,225.246,126.256,232.537,1.025,149.41,306.526,5.37,19.972,116.407
2017-09-07 23:10:00,334.076,56.509,228.967,499.422,59.28,72.563,126.923,1425.22,120.929,164.92,381.356,477.853,376.162,429.6,184.6,113.03,53.965,98.408,184.294,223.12,229.238,109.046,176.158,102.96,219.046,198.124,276.372,219.94,224.586,121.326,230.875,1.005,150.35,306.58,5.377,20.188,117.624
2017-09-07 23:15:00,332.019,55.963,229.667,486.598,58.117,70.183,126.26,1435.94,124.084,162.826,383.821,474.3,376.204,427.2,185.6,111.17,53.843,97.954,182.79,224.453,228.803,108.538,175.729,103.44,222.416,198.056,270.772,218.484,222.764,125.906,232.081,0.964,149.596,308.436,5.378,19.662,117.814
2017-09-07 23:20:00,332.249,56.403,229.967,498.995,59.523,73.037,127.407,1426.86,123.751,163.761,382.18,476.381,375.874,427.2,182.8,111.793,54.235,100.68,183.348,222.053,230.095,107.087,175.632,102.533,222.008,199.862,268.858,218.846,225.41,126.498,233.442,0.928,148.374,303.344,5.312,20.01,118.722
2017-09-07 23:25:00,334.674,56.229,228.233,498.568,58.243,71.863,126.82,1430.6,122.685,163.515,382.575,474.856,375.842,430.0,183.4,110.157,53.76,98.884,182.044,225.68,227.847,109.648,178.186,104.0,222.064,198.946,273.596,217.862,222.486,125.658,230.279,1.052,149.294,300.826,5.245,19.508,117.292
2017-09-07 23:30:00,332.981,56.764,229.8,495.505,58.444,72.05,126.07,1436.18,123.055,162.924,383.858,479.66,374.348,432.4,184.6,111.663,54.505,98.25,183.29,225.413,229.345,109.531,176.021,103.147,222.5,199.664,270.058,217.758,221.13,127.954,235.448,1.001,148.424,301.348,5.405,20.544,117.195
2017-09-07 23:35:00,331.721,56.052,231.7,499.473,59.016,70.433,125.967,1431.8,126.901,164.581,384.711,477.995,376.158,431.6,182.4,111.917,53.55,97.854,183.772,225.467,229.0,108.678,176.968,103.04,220.88,197.082,275.612,217.302,224.678,126.408,233.614,0.899,149.238,305.29,5.253,19.896,116.908
2017-09-07 23:40:00,336.935,56.153,230.266,493.438,59.572,73.493,126.516,1440.24,126.083,164.002,387.027,483.457,380.016,434.2,183.6,112.15,51.475,100.426,181.608,225.493,230.928,106.37,177.724,104.534,220.426,197.928,276.894,217.386,220.856,125.904,233.095,0.933,149.438,305.496,5.432,20.009,118.317
2017-09-07 23:45:00,331.714,56.776,232.1,492.336,59.362,72.753,127.514,1439.78,123.087,164.163,385.994,481.167,380.052,431.6,184.8,111.337,54.603,97.568,185.708,227.707,229.196,107.72,176.936,103.573,221.232,196.734,274.546,217.06,220.62,123.644,231.925,0.954,149.214,300.112,5.152,20.328,119.534
2017-09-07 23:50:00,332.197,56.535,230.133,492.841,57.867,72.87,127.85,1440.86,124.25,163.529,386.862,480.063,380.018,431.2,184.8,111.357,53.01,99.96,184.32,224.347,231.239,108.814,176.7,103.867,219.342,196.636,276.354,217.422,220.932,125.844,234.651,1.006,151.706,305.644,5.255,19.787,118.553
2017-09-07 23:55:00,334.071,57.088,230.833,500.771,58.587,72.04,124.113,1450.84,126.424,162.603,385.542,484.501,378.632,436.0,185.8,113.113,54.753,98.23,183.442,228.773,229.276,106.842,176.481,103.36,219.568,197.596,279.53,216.348,223.188,126.172,235.427,0.953,151.438,307.876,5.195,20.902,119.198
2017-09-08 00:00:00,329.539,57.444,231.867,497.971,58.121,72.103,124.857,1456.72,125.528,164.092,383.08,481.539,382.322,435.8,184.4,112.747,51.725,97.225,183.766,225.307,228.19,107.196,176.282,103.413,222.754,197.068,275.924,217.04,220.194,124.204,232.087,1.032,149.263,307.917,5.554,20.503,118.266
2017-09-08 00:05:00,335.492,56.135,230.133,495.565,57.652,71.25,125.727,1448.38,124.215,164.247,383.471,482.99,381.354,433.8,185.0,111.73,52.657,97.744,182.074,225.2,226.294,109.798,177.22,102.88,221.688,198.632,270.534,219.508,223.162,127.31,232.06,0.961,150.136,309.41,5.117,20.112,118.098
2017-09-08 00:10:00,334.112,56.659,229.267,495.627,58.653,73.15,127.15,1453.84,124.169,165.568,387.667,478.813,379.012,436.2,187.2,111.37,54.24,99.72,184.248,226.16,228.503,107.651,174.699,103.627,223.64,197.938,271.54,216.916,222.072,124.576,233.382,0.978,151.25,307.516,5.148,20.498,119.892
2017-09-08 00:15:00,333.953,56.698,228.433,487.747,58.284,72.163,125.707,1442.52,124.329,163.39,385.576,481.322,381.312,437.2,186.0,111.313,54.01,99.168,181.046,223.547,228.492,107.783,176.568,103.68,220.286,195.772,270.988,218.078,221.906,123.182,232.966,0.946,151.69,307.688,5.326,20.733,118.913
2017-09-08 00:20:00,333.798,57.077,232.0,491.524,59.195,72.757,125.5,1438.86,124.759,164.607,388.579,484.176,378.706,435.0,186.2,112.0,53.45,99.102,185.19,226.187,230.031,107.957,176.904,103.227,220.154,197.546,269.748,218.776,222.602,125.66,233.359,0.929,150.562,304.736,5.536,20.602,118.338
2017-09-08 00:25:00,334.473,56.442,230.033,492.734,57.93,72.133,128.357,1439.3,125.798,166.443,387.085,484.458,377.786,431.4,184.6,112.54,53.89,98.83,181.022,225.813,229.73,108.632,174.803,101.493,222.81,198.452,273.1,216.218,220.7,124.382,232.121,0.916,149.07,306.958,5.233,19.958,117.999
2017-09-08 00:30:00,332.11,56.719,230.0,496.269,57.06,72.057,128.73,1430.233,124.264,163.524,389.251,484.59,372.906,428.4,180.0,111.99,53.06,99.184,179.632,224.214,229.881,110.292,174.843,101.413,220.6,198.864,271.414,218.668,219.912,125.93,231.269,0.821,150.628,305.19,5.585,19.691,116.37
2017-09-08 00:35:00,330.845,56.395,230.167,500.011,59.389,71.69,127.587,1430.52,124.575,165.899,383.488,478.903,373.84,427.4,180.8,115.486,53.103,98.204,178.522,221.867,231.168,108.057,176.051,102.16,223.486,199.748,265.494,216.242,224.3,126.298,232.2,0.973,149.24,308.98,5.079,19.893,117.855
2017-09-08 00:40:00,331.919,56.326,230.1,489.985,58.451,73.357,127.067,1426.82,123.578,163.407,387.301,480.819,374.846,429.0,182.6,110.99,52.23,97.552,179.93,221.52,230.741,107.026,174.526,102.507,223.164,197.35,272.314,216.662,220.224,125.834,233.269,1.042,150.432,305.456,5.175,19.889,115.919
2017-09-08 00:45:00,330.74,55.714,228.967,491.605,58.514,72.65,127.52,1420.9,125.901,163.464,386.157,477.519,377.256,427.6,181.2,111.983,52.2,100.478,183.068,222.533,226.245,109.058,175.034,103.547,225.35,196.354,266.332,215.386,225.066,127.278,231.661,0.981,148.604,304.426,5.181,19.985,116.229
