DATETIME,ESOI,ATHN,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,MGDN,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2012-07-14 15:40:00,93.675,58.73,224.567,478.926,72.881,152.393,1398.58,105.658,157.293,367.611,449.72,460.3,413.2,207.4,50.182,240.542,93.566,169.007,177.62,170.974,209.44,215.922,103.448,171.842,122.8,96.373,211.854,186.598,213.496,210.636,119.782,143.208,292.706,108.918,112.794
2012-07-14 15:45:00,92.3,57.43,222.9,479.325,70.984,150.524,1388.34,105.306,157.856,368.73,451.098,458.604,413.0,206.0,50.913,244.63,93.922,166.993,177.146,171.762,209.067,218.44,106.474,171.896,119.8,95.84,211.67,186.632,213.422,208.76,117.808,143.582,293.24,109.722,112.478
2012-07-14 15:50:00,95.293,57.717,225.533,484.347,70.917,150.317,1395.46,105.832,159.187,364.773,449.925,459.77,406.2,203.6,51.502,243.332,96.078,168.027,177.136,173.32,209.147,215.98,105.796,170.196,122.4,95.573,211.238,187.102,210.534,209.91,118.014,142.018,293.024,108.35,113.485
2012-07-14 15:55:00,95.175,58.147,224.2,483.024,70.108,151.26,1402.64,105.244,156.93,366.61,454.372,456.688,410.2,205.6,51.398,245.276,95.16,164.983,173.99,171.248,208.267,217.238,104.122,171.238,121.8,95.093,211.07,187.518,208.55,206.748,116.684,142.546,294.652,110.26,113.852
2012-07-14 16:00:00,95.13,58.357,225.8,483.694,72.589,151.7,1405.44,106.136,157.859,366.377,453.074,455.548,408.2,205.6,51.903,241.674,92.834,166.923,175.898,174.332,210.24,216.559,104.148,169.91,122.4,96.4,209.882,189.254,211.182,211.234,118.412,142.412,293.126,108.874,111.934
2012-07-14 16:05:00,94.575,57.183,223.967,480.849,73.773,152.047,1410.28,106.066,156.307,369.204,450.435,453.45,410.6,207.0,52.256,242.688,96.074,168.877,176.764,173.614,209.493,216.08,103.986,171.954,121.6,95.093,211.182,186.84,210.694,210.246,117.378,143.576,293.224,109.234,113.253
2012-07-14 16:10:00,96.535,56.653,221.3,486.068,71.134,149.837,1399.5,106.3,155.852,366.263,451.119,457.42,411.2,208.0,51.844,243.506,95.552,166.57,177.774,173.388,210.8,218.385,103.044,169.974,121.2,94.373,210.148,189.43,210.914,207.934,118.296,142.666,293.234,110.53,111.889
2012-07-14 16:15:00,94.84,57.797,225.133,484.275,71.293,150.807,1404.26,105.46,157.72,372.765,453.364,454.694,408.6,205.6,50.595,243.336,94.804,164.153,173.22,173.174,209.307,216.835,103.934,171.596,122.4,96.427,210.732,185.82,210.894,211.542,118.038,143.154,294.944,109.802,113.283
2012-07-14 16:20:00,95.455,57.723,226.533,482.806,71.297,154.093,1410.26,106.122,157.116,365.876,456.895,457.758,409.0,205.6,51.33,243.196,94.262,167.38,176.298,174.668,211.307,218.842,103.707,171.018,120.4,94.213,210.732,187.146,209.722,207.486,117.844,143.4,292.792,110.512,113.096
2012-07-14 16:25:00,94.91,57.79,227.167,485.058,70.327,150.8,1405.8,105.004,157.813,367.036,453.791,458.282,408.4,209.0,52.02,240.062,94.726,173.327,183.082,173.552,208.48,219.778,105.194,170.838,123.4,96.027,212.484,184.32,211.248,210.242,118.25,142.796,293.638,109.526,112.849
