DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-10-11 16:05:00,171.278,52.897,212.533,126.747,1379.28,408.213,103.93733416666657,214.14,90.968,160.573,229.5449999999986,300.953,98.336,162.52,193.96,168.684,201.182,198.892,113.54,45.874,272.716
2001-10-11 16:10:00,172.858,53.27,215.6,128.243,1377.96,406.18,104.10574062500007,213.08,90.762,159.89,229.5449999999986,296.407,98.969,161.42,196.722,172.16,199.37,200.664,111.528,46.432,269.294
2001-10-11 16:15:00,172.228,53.513,213.6,128.697,1377.24,405.81,103.982,214.146,90.764,157.52,229.5449999999986,300.982,99.671,161.28,194.61,172.706,199.686,199.732,111.336,46.49,273.478
2001-10-11 16:20:00,172.54,52.173,215.467,128.39,1372.64,409.793,104.30542416666667,214.218,91.686,159.21,229.5449999999986,298.702,99.748,162.72,195.236,172.152,200.13,199.242,111.042,46.518,270.794
2001-10-11 16:25:00,172.904,52.463,213.967,127.57,1372.46,410.047,104.19243416666657,216.858,92.55,158.363,229.5449999999986,296.609,98.944,162.2,195.206,170.934,200.968,200.028,111.57,47.312,270.62
2001-10-11 16:30:00,173.556,53.463,215.067,127.61,1363.52,408.323,103.88,214.364,91.326,158.68,229.5449999999986,298.786,98.113,163.0,197.754,172.216,200.716,199.782,113.092,46.64,270.584
2001-10-11 16:35:00,172.518,54.03,212.0,128.647,1371.66,409.117,104.14144249999995,217.218,92.336,158.613,229.5449999999986,300.058,99.552,160.22,197.226,172.158,199.97,200.75,112.164,46.822,270.862
2001-10-11 16:40:00,171.838,53.41,212.833,129.037,1370.68,408.333,103.91414083333333,215.124,89.688,162.12,229.5449999999986,296.06,98.683,160.14,195.438,168.88,199.418,202.61,111.96,46.214,273.618
2001-10-11 16:45:00,171.63,52.697,213.567,128.767,1362.16,409.277,104.625,214.74,91.418,159.817,229.5449999999986,295.096,99.042,162.92,197.136,173.07,199.426,199.076,111.664,46.024,269.814
2001-10-11 16:50:00,172.028,52.297,213.367,127.647,1361.02,407.71,103.9998862499999,218.164,89.574,157.77,229.5449999999986,297.732,99.164,162.28,195.96,170.612,199.682,199.23,112.02,46.498,270.598
2001-10-11 16:55:00,171.134,53.547,213.333,128.617,1372.52,406.637,104.08637499999999,217.05,90.508,158.827,229.5449999999986,298.579,100.221,161.14,196.43,171.32,201.338,200.408,111.12,46.814,270.506
2001-10-11 17:00:00,170.414,52.243,215.933,126.013,1360.36,405.583,104.242,214.792,91.246,159.48,229.5449999999986,296.1,101.383,162.2,197.154,173.48,199.644,198.984,111.482,46.572,271.722
2001-10-11 17:05:00,169.122,51.93,216.167,128.543,1357.94,406.88,103.88816124999987,215.7,89.796,157.483,229.5449999999986,295.425,99.415,161.7,195.468,170.856,199.338,198.13,111.066,45.524,273.066
2001-10-11 17:10:00,171.782,52.063,212.833,126.183,1349.86,406.15,103.78572374999985,211.924,88.114,158.39,229.5449999999986,293.73,98.707,161.18,194.998,171.876,201.242,200.38,111.242,46.902,270.826
2001-10-11 17:15:00,170.48,53.643,212.267,127.43,1356.46,403.823,103.959,209.99,90.926,156.923,229.5449999999986,294.025,99.002,161.12,195.164,173.296,199.774,198.95,110.164,46.226,270.912
2001-10-11 17:20:00,170.318,52.463,213.4,126.437,1352.36,401.76,103.02744208333324,216.61,90.01,154.28,229.5449999999986,292.447,99.166,161.76,196.326,172.334,201.468,200.5,111.478,45.676,267.326
2001-10-11 17:25:00,172.116,52.093,214.0,127.507,1359.62,403.856,103.46107124999993,215.334,90.392,155.25,229.5449999999986,293.275,99.894,161.94,195.15,170.242,200.826,200.492,112.0,46.292,269.834
2001-10-11 17:30:00,171.77,53.303,214.933,124.44,1357.7,403.633,104.102,212.268,91.824,157.53,229.5449999999986,295.888,100.284,160.62,196.198,171.906,199.398,201.198,111.618,46.416,269.466
2001-10-11 17:35:00,171.492,52.537,214.567,126.57,1355.3,403.513,103.76128916666663,214.004,89.634,158.777,229.5449999999986,294.565,98.316,161.26,195.118,172.384,198.92,200.514,112.174,45.628,269.636
2001-10-11 17:40:00,171.824,52.86,215.8,125.807,1366.02,402.703,103.49510208333326,213.706,89.706,156.067,229.5449999999986,298.362,98.067,161.8,195.004,172.436,198.714,199.122,111.104,46.406,267.916
2001-10-11 17:45:00,170.888,53.1,214.133,126.71,1360.22,404.167,103.418,214.086,92.044,155.966,229.5449999999986,296.799,98.257,161.74,196.954,172.252,200.826,199.656,110.932,46.578,269.94
