event_date,drop,intensity,dst,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian
2005-08-24,7.16,G4/G5,-216.0,decimal_scaling,minkowski,0.3422891378773734,41.528295316137864,2.827083054759674,1.1127306089539848,0.4985534337913167,0.5446576653192513,-0.5421166306695463,0.23458161474286568,0.23233190021162597,0.21650326797385622,0.13446162001862363
2005-08-24,7.16,G4/G5,-216.0,none,minkowski,0.3422891378773734,41.528295316137864,2.827083054759674,1.1127306089539848,0.49855343379132044,0.5446576653192512,-0.5421166306695463,0.23458161474286568,0.23233190021162597,0.21650326797385622,0.1344616200186236
2005-09-10,0.0,Unknown,0.0,min_max,manhattan,0.3658671802054157,38.8230180074091,2.6724334610718596,1.3723075612101412,0.5867603718211176,0.5596175507278339,-0.3333333333333333,0.24141605681506817,0.2706842260889811,0.19117647058823528,0.13720464828270107
2005-09-10,0.0,Unknown,0.0,z_score,manhattan,0.37844304388422045,39.514734358831625,2.6517631254144343,1.3522194281104096,0.48249383081022806,0.5829926920688714,-0.40350877192982454,0.2410280020208101,0.28600867538317765,0.17745098039215687,0.13571143466842975
2005-09-10,0.0,Unknown,0.0,robust,manhattan,0.35894316059757264,38.822787112708646,2.7217303269718998,1.185543917902172,0.6259859621522498,0.5863236938305206,-0.3333333333333333,0.2414328125510864,0.25356980140180435,0.2088235294117647,0.1383641882060806
2005-09-10,0.0,Unknown,0.0,decimal_scaling,manhattan,0.36243580765639605,38.81272103171401,2.7495172901761027,1.3305164165281944,0.5222367173300371,0.549361507450512,-0.44,0.2414726685954342,0.26694874778918926,0.19509803921568625,0.1411750811649761
2005-09-10,0.0,Unknown,0.0,none,manhattan,0.36243580765639605,38.81272103171401,2.7495172901761027,1.3305164165281944,0.5222367173300357,0.549361507450512,-0.44,0.2414726685954342,0.26694874778918926,0.19509803921568625,0.14117508116497596
2005-09-10,0.0,Unknown,0.0,min_max,minkowski,0.33935043714455504,37.93931410679053,2.68638627662247,0.8473049143211807,0.6600695818512338,0.5573955571705049,-0.037037037037037035,0.24194613920879207,0.2314645642265599,0.2372549019607843,0.13495865784025562
2005-09-10,0.0,Unknown,0.0,z_score,minkowski,0.3724760737628386,39.71847771050749,2.6494164964803573,1.3135883331272986,0.4565341285495225,0.5618086123803097,-0.5433070866141733,0.24101040131335652,0.27199453093393666,0.19019607843137254,0.13674632458965802
2005-09-10,0.0,Unknown,0.0,robust,minkowski,0.33215850734233116,38.141646540730676,2.7094459875729138,0.9060893114778594,0.5548285880049246,0.5964308330645771,-0.3989071038251366,0.24189916929417657,0.21360495429510404,0.2588235294117647,0.1359919362358052
2005-09-10,0.0,Unknown,0.0,decimal_scaling,minkowski,0.3698937908496733,39.47421720779733,2.7349557833157503,1.3995925179065851,0.42400312903083015,0.5532378555936772,-0.5838383838383838,0.24117733077210168,0.2740930074651531,0.18823529411764706,0.14194784574886715
2005-09-10,0.0,Unknown,0.0,none,minkowski,0.3698937908496733,39.47421720779733,2.73495578331575,1.3995925179065851,0.4240031290308315,0.5532378555936772,-0.5838383838383838,0.24117733077210168,0.2740930074651531,0.18823529411764706,0.14194784574886732
2006-12-14,9.29,G4,-146.0,min_max,manhattan,0.39427521008403354,41.26885699489252,2.733309742896114,1.371281114887892,0.7056845222047996,0.5483356502765908,-0.4810126582278481,0.24029460468845965,0.30723775007347454,0.16176470588235295,0.1439347894891073
2006-12-14,9.29,G4,-146.0,z_score,manhattan,0.39762780112044815,41.74350298923641,2.709078852520576,1.4026723509014103,0.8506747234344996,0.5701228093671885,-0.5168195718654435,0.24003816949407894,0.302782277016143,0.16470588235294117,0.14585834092757985
2006-12-14,9.29,G4,-146.0,robust,manhattan,0.3969012605042016,40.44275997631172,2.656593741202274,1.5500443359457778,0.5843531882433001,0.5746214958219921,-0.5094339622641509,0.2405248614854211,0.3124330947597245,0.15490196078431373,0.14188975909179713
2006-12-14,9.29,G4,-146.0,decimal_scaling,manhattan,0.35153796367031687,39.026726615864064,2.761914232572947,0.9730554768431693,0.598226148643801,0.5436050974428359,-0.5421686746987951,0.24144085253044156,0.23901196039415892,0.22450980392156863,0.14138706577099291
2006-12-14,9.29,G4,-146.0,none,manhattan,0.35153796367031687,39.026726615864064,2.7619142325729467,0.9730554768431693,0.5982261486438021,0.5436050974428359,-0.5421686746987951,0.24144085253044156,0.23901196039415892,0.22450980392156863,0.14138706577099303
2006-12-14,9.29,G4,-146.0,min_max,minkowski,0.37862686741363216,40.026678719538005,2.738912243442056,1.2658340264774526,0.79523098852967,0.5621201864940547,-0.43346508563899866,0.24086467250077473,0.2857917505629306,0.1784313725490196,0.14218121022810376
2006-12-14,9.29,G4,-146.0,z_score,minkowski,0.3718253968253969,39.55714051175731,2.7169158464675083,1.305016759076964,0.824565692093603,0.5524638607627171,-0.32525252525252524,0.24102241857491769,0.270773552399513,0.19117647058823528,0.14116588968862315
2006-12-14,9.29,G4,-146.0,robust,minkowski,0.39613095238095225,41.88936883572879,2.662547151227125,1.4790539611844622,0.5867189148525712,0.547069601149877,-0.6331542594013815,0.2400698888407126,0.2993443929099123,0.16470588235294117,0.1461941811360323
2006-12-14,9.29,G4,-146.0,decimal_scaling,minkowski,0.3478262138188611,38.55844891433198,2.7644443906057754,1.178229691651116,0.5708288879277972,0.5770911154077042,-0.5930735930735931,0.2416657520223027,0.23929371253812867,0.22352941176470587,0.14032784306850835
2006-12-14,9.29,G4,-146.0,none,minkowski,0.3478262138188611,38.55844891433198,2.7644443906057754,1.178229691651116,0.5708288879278032,0.5770911154077041,-0.5930735930735931,0.2416657520223027,0.23929371253812867,0.22352941176470587,0.1403278430685084
2011-10-24,6.01,G3,-137.0,min_max,manhattan,0.26458980088012274,72.11707295819828,3.321481455351088,1.369582606549061,0.7254864342501014,0.6630319587807789,-0.20567375886524814,0.17876939069721376,0.18295870266161593,0.16143863552094917,0.07565054981679344
2011-10-24,6.01,G3,-137.0,z_score,manhattan,0.29628140079752935,78.93343646688568,3.362220058281336,1.4201582039619718,0.6332622665151822,0.6854521366769084,-0.5525773195876285,0.17744829409485172,0.20650034951973165,0.1372636262513904,0.08068479264284899
2011-10-24,6.01,G3,-137.0,robust,manhattan,0.32745349035671606,87.0469478128228,3.3525575773676937,1.5123614512223327,0.8854330605647844,0.6092828827988017,-0.44507893852872,0.17611055917875243,0.24720035657018807,0.11116054875787913,0.08468440234897526
2011-10-24,6.01,G3,-137.0,decimal_scaling,manhattan,0.28654097396032785,75.90686871200154,3.383299955594954,1.1401337308774562,0.6507357126599819,0.6765943601332782,-0.3091922005571025,0.1779103039654492,0.19883793878354203,0.1489803485354097,0.07946974917337209
2011-10-24,6.01,G3,-137.0,none,manhattan,0.28654097396032785,75.90686871200154,3.3832999555949548,1.1401337308774562,0.6507357126599803,0.6765943601332782,-0.3091922005571025,0.1779103039654492,0.19883793878354203,0.1489803485354097,0.07946974917337207
2011-10-24,6.01,G3,-137.0,min_max,minkowski,0.2703656379462822,72.58609781746816,3.3474220810636584,1.4574132275043614,0.6771114901739497,0.668545367225623,-0.22509960159362577,0.178644395395926,0.18856700026201093,0.15535780496848348,0.07682041908565214
2011-10-24,6.01,G3,-137.0,z_score,minkowski,0.2870758273984072,76.25412655912703,3.3039184924672345,1.2202873445240425,0.5886281549626212,0.6752695142114461,-0.42385100630820066,0.17791679748559577,0.2010485552119674,0.1431961438635521,0.07725260334083911
